timestamp,job_id,tree_id,candidate_id,quality_score,occupancy,sharpness,contrast,brightness,raw_predicted_class,raw_confidence,prototype_distance,prototype_z,energy,energy_z,combined_unknownness,threshold,decision_margin,open_set_rejected,consensus_status,final_species
2026-08-08T05:28:55.001017,pine__pine_011,6,3,0.6227,0.6215,165.22,18.44,37.18,mahogany,0.9028,0.0199,-0.2494,-2.5425,1.3846,-0.1677,-0.0323,-0.1354,False,known,mahogany
2026-08-08T05:28:55.002017,pine__pine_011,6,4,0.6144,0.6554,145.09,16.12,34.93,mahogany,0.9423,0.0077,-0.3643,-2.865,0.2898,-0.3316,-0.0323,-0.2993,False,known,mahogany
2026-08-08T05:28:55.002017,pine__pine_011,6,2,0.5987,0.5446,159.59,18.73,38.81,mahogany,0.8038,0.0463,-0.0001,-2.0286,3.1293,0.1564,-0.0323,0.1887,True,known,mahogany
2026-08-08T05:29:31.099853,pine__pine_012,5,4,0.7344,0.983,253.89,15.98,31.51,mahogany,0.9516,0.0011,-0.4266,-2.9615,-0.0381,-0.4072,-0.0323,-0.3749,False,known,mahogany
2026-08-08T05:29:31.099853,pine__pine_012,5,6,0.7322,0.972,199.94,17.03,29.93,mahogany,0.9402,0.0015,-0.4224,-2.8132,0.4656,-0.378,-0.0323,-0.3457,False,known,mahogany
2026-08-08T05:29:31.100854,pine__pine_012,5,5,0.7278,0.9616,224.08,16.5,30.78,mahogany,0.9458,0.0011,-0.4263,-2.8774,0.2476,-0.3926,-0.0323,-0.3602,False,known,mahogany
2026-08-08T05:29:31.100854,pine__pine_012,7,2,0.6462,0.6338,260.28,19.38,50.78,mahogany,0.828,0.042,-0.0406,-2.2013,2.5432,0.0885,-0.0323,0.1209,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:30:56.588374,pine__pine_013,2,3,0.9391,0.9642,2245.87,74.14,86.36,mahogany,0.9377,0.0041,-0.3976,-2.7974,0.5191,-0.3518,-0.0323,-0.3194,False,uncertain,Uncertain
2026-08-08T05:30:56.588374,pine__pine_013,2,4,0.9391,0.9748,1760.89,72.44,83.24,mahogany,0.8364,0.0563,0.0941,-2.3826,1.9276,0.1858,-0.0323,0.2181,True,uncertain,Uncertain
2026-08-08T05:30:56.588374,pine__pine_013,2,5,0.9314,0.9769,1208.9,66.87,76.11,mahogany,0.6093,0.1378,0.8628,-1.9971,3.2364,0.9815,-0.0323,1.0138,True,uncertain,Uncertain
2026-08-08T05:30:56.588374,pine__pine_013,3,1,0.6988,0.6614,735.16,35.58,41.43,teak,0.8594,0.0287,-0.1656,-2.2827,2.2668,-0.044,-0.0323,-0.0117,False,known,teak
2026-08-08T05:30:56.588374,pine__pine_013,5,6,0.7764,0.7568,1113.71,46.01,49.41,teak,0.71,0.1167,0.664,-1.968,3.3352,0.7976,-0.0323,0.8299,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:30:56.588374,pine__pine_013,5,5,0.7413,0.7486,840.55,38.55,43.16,mahogany,0.856,0.0396,-0.0632,-2.3203,2.1389,0.0469,-0.0323,0.0792,True,open_set_rejected,Unknown / Unrecognized species
2026-08-08T05:30:56.588374,pine__pine_013,5,4,0.6664,0.6803,502.82,25.27,37.43,mahogany,0.7359,0.0952,0.4607,-2.0363,3.1034,0.5928,-0.0323,0.6251,True,open_set_rejected,Unknown / Unrecognized species
